Secteur,"Emploi <br><i style=""font-size:80%;"">Mars 2025</i>",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,Taux de croissance annuelle,Taux de chômage
"Information, culture et loisirs",319700.0,222.7,228.1,273.5,292.8,313.2,282.8,285.3,276.1,266.7,240.8,264.1,281.3,273.0,275.0,295.5,327.4,342.4,316.5,323.1,328.3,308.8,263.4,309.4,309.1,323.2,350.8,341.4,363.2,344.5,312.3,303.5,293.3,297.2,307.9,302.4,302.7,318.7,350.1,353.0,373.3,370.3,306.5,320.0,310.4,296.3,300.2,300.2,304.2,299.0,331.4,332.7,368.5,367.9,330.0,320.6,325.7,332.2,351.3,345.1,319.7,7.499014743458443,10.095613048368968
Fabrication,831900.0,620.7,653.1,719.7,735.8,751.8,776.6,778.6,792.8,796.9,783.1,792.0,791.4,774.3,771.5,785.2,787.0,789.5,761.0,775.5,783.7,792.5,763.2,774.4,784.2,789.9,795.9,807.8,824.5,819.7,795.4,806.9,812.5,797.8,801.7,809.7,800.8,808.3,841.3,851.6,864.9,851.7,827.6,825.8,835.4,823.7,818.1,823.7,832.1,842.7,841.2,859.1,849.6,850.1,821.1,815.1,802.4,806.7,815.3,830.8,831.9,6.032225235138489,3.9598245208958716
"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz",38100.0,24.4,23.8,27.3,29.4,23.8,24.5,26.7,27.6,24.2,26.1,27.7,25.9,25.5,26.4,27.9,29.5,32.7,29.8,32.2,30.7,33.9,29.4,30.0,33.5,31.6,29.8,33.9,32.7,33.6,36.7,36.9,35.4,37.5,38.8,36.9,39.4,40.7,38.0,42.3,37.7,36.1,36.9,34.2,37.9,37.5,34.2,34.8,37.1,34.9,33.8,37.1,38.1,39.8,39.5,42.0,42.9,42.5,40.3,38.4,38.1,9.321864457012108,4.5112781954887105
Autres services,294100.0,229.0,227.4,245.2,258.8,269.7,271.2,281.6,277.8,256.4,248.7,252.5,269.8,261.2,268.2,260.4,268.6,256.0,248.2,261.2,254.0,252.6,250.6,244.8,253.4,256.1,251.8,244.2,251.7,254.3,249.5,254.2,252.9,251.8,260.1,263.2,267.5,258.6,261.2,266.7,277.3,279.5,276.7,281.8,290.8,294.5,280.7,290.7,283.0,293.1,293.4,298.4,306.4,290.1,285.7,287.2,282.6,282.3,273.2,278.3,294.1,5.1312694315450935,1.8357810413885178
"Services professionnels, scientifiques et techniques",893200.0,661.6,666.4,665.4,680.5,694.5,697.1,725.6,718.1,727.4,740.1,736.7,735.0,735.8,756.3,771.0,766.3,766.8,763.6,761.4,774.9,775.9,776.5,793.7,803.5,807.0,818.1,812.0,805.9,809.5,786.6,802.3,801.3,819.4,819.5,827.0,817.2,814.4,820.4,829.0,819.5,848.3,847.6,849.5,863.9,886.5,883.6,887.9,876.6,890.1,900.6,915.0,920.2,906.2,902.5,903.4,906.6,906.9,919.2,894.8,893.2,6.186826965289738,3.9259976336452618
Administrations publiques,477600.0,368.5,380.6,387.6,392.1,405.2,390.7,387.6,381.9,389.2,387.8,388.1,387.4,397.0,400.1,425.2,428.1,420.7,435.1,417.1,425.1,426.1,423.8,421.6,424.9,433.5,442.6,448.9,460.6,469.0,448.2,455.0,455.9,456.7,453.0,458.9,457.4,462.0,467.8,476.6,467.1,469.6,464.4,463.7,456.0,458.8,461.5,466.9,464.6,465.6,474.1,470.3,486.7,482.8,479.4,469.2,470.4,476.5,471.0,473.8,477.6,5.323520005912652,1.9503182098131844
Services immobiliers et services de location et de location à bail,166200.0,123.2,137.2,145.3,132.2,138.9,147.9,163.0,164.8,168.4,156.9,161.7,159.4,162.3,154.1,164.7,160.1,162.0,162.0,170.3,165.1,169.5,175.5,184.2,163.2,163.0,153.2,165.5,163.6,182.7,174.3,183.1,187.4,188.0,177.0,183.5,177.7,167.4,158.5,159.7,149.8,148.4,149.9,156.5,150.6,146.8,170.3,166.2,177.9,178.2,170.3,176.8,170.0,184.4,181.0,180.7,166.0,172.8,158.4,170.1,166.2,6.170548818248567,1.2477718360071388
Ensemble des industries,8142500.0,6311.1,6387.6,6848.0,6957.3,7109.3,7229.8,7293.2,7326.1,7282.7,7012.7,7158.5,7289.8,7191.2,7261.0,7435.2,7481.7,7507.1,7532.2,7601.9,7680.3,7706.2,7448.5,7665.5,7672.0,7745.0,7878.0,7893.2,7845.1,7818.9,7717.4,7799.9,7834.1,7851.6,7801.6,7863.8,7880.2,7953.7,8064.5,8157.3,8099.1,8090.5,8015.8,8044.1,8078.6,8024.4,7956.2,7993.7,8015.9,8090.3,8234.5,8281.8,8243.0,8210.4,8198.1,8184.4,8172.7,8172.7,8138.7,8185.2,8142.5,5.227812217784833,7.8277111161421775
Commerce de gros et de détail,1138000.0,893.1,908.9,1023.8,1071.3,1079.4,1062.4,1096.7,1117.4,1129.7,1011.3,1045.0,1105.8,1070.7,1040.7,1097.6,1133.3,1118.6,1106.1,1149.2,1176.6,1202.4,1147.6,1157.3,1163.0,1162.8,1184.5,1178.7,1163.3,1157.3,1124.0,1122.4,1130.0,1131.8,1118.3,1137.4,1135.8,1150.4,1143.5,1157.1,1151.0,1170.9,1129.8,1121.1,1125.0,1129.5,1123.1,1114.6,1114.9,1136.8,1156.6,1138.2,1121.8,1120.7,1105.3,1111.6,1134.0,1129.9,1106.8,1136.8,1138.0,4.96594850277865,4.28126839936076
Transport et entreposage,397400.0,335.4,329.9,340.7,340.7,332.4,340.8,324.2,343.0,340.7,340.3,355.2,353.8,354.9,365.7,364.9,356.6,360.9,378.7,376.2,385.4,387.4,384.0,395.1,374.3,376.7,381.9,379.1,379.5,375.5,376.9,377.2,380.5,387.0,378.2,371.7,382.7,403.6,394.7,407.6,398.8,393.8,414.0,420.9,429.9,425.1,412.0,422.1,427.9,441.0,422.0,417.3,418.8,419.0,435.9,417.9,411.5,414.3,411.1,401.7,397.4,3.450587384794468,5.5383884002852435
Services publics,64500.0,48.7,47.2,50.5,50.0,48.7,52.5,50.0,48.6,48.5,48.5,51.8,50.7,50.6,49.1,50.3,59.6,56.0,54.6,59.0,53.7,57.4,59.3,58.0,57.8,61.0,61.9,64.2,61.1,64.8,61.9,63.7,62.6,59.4,59.5,63.8,62.6,62.0,68.7,66.4,68.0,69.6,65.0,63.0,62.5,62.9,59.2,62.2,55.8,53.5,57.1,58.2,63.7,63.2,62.3,59.8,57.6,61.6,62.8,59.7,64.5,5.780630354724492,0.0
